esmini GIT REV: N/A
esmini GIT TAG: N/A
esmini GIT BRANCH: N/A
esmini BUILD VERSION: 3923
Scenario File Name: .\resources\xosc/./hcis_12.xosc
Number of Vehicles: 2
Index [-] , TimeStamp [s] , #1 Entity_Name [-] , #1 Entity_ID [-] , #1 Current_Speed [m/s] , #1 Wheel_Angle [deg] , #1 Wheel_Rotation [-] , #1 bb_x [m] , #1 bb_y [m] , #1 bb_z [m] , #1 bb_length [m] , #1 bb_width [m] , #1 bb_height [m] , #1 World_Position_X [m] , #1 World_Position_Y [m] , #1 World_Position_Z [m] , #1 Vel_X [m/s] , #1 Vel_Y [m/s] , #1 Vel_Z [m/s] , #1 Acc_X [m/s2] , #1 Acc_Y [m/s2] , #1 Acc_Z [m/s2] , #1 Distance_Travelled_Along_Road_Segment [m] , #1 Lateral_Distance_Lanem [m] , #1 lane_id, #1 lane_offset[m] , #1 World_Heading_Angle [rad] , #1 Heading_Angle_Rate [rad/s] , #1 Relative_Heading_Angle [rad] , #1 Relative_Heading_Angle_Drive_Direction [rad] , #1 World_Pitch_Angle [rad] , #1 Road_Curvature [1/m] , #1 collision_ids , #2 Entity_Name [-] , #2 Entity_ID [-] , #2 Current_Speed [m/s] , #2 Wheel_Angle [deg] , #2 Wheel_Rotation [-] , #2 bb_x [m] , #2 bb_y [m] , #2 bb_z [m] , #2 bb_length [m] , #2 bb_width [m] , #2 bb_height [m] , #2 World_Position_X [m] , #2 World_Position_Y [m] , #2 World_Position_Z [m] , #2 Vel_X [m/s] , #2 Vel_Y [m/s] , #2 Vel_Z [m/s] , #2 Acc_X [m/s2] , #2 Acc_Y [m/s2] , #2 Acc_Z [m/s2] , #2 Distance_Travelled_Along_Road_Segment [m] , #2 Lateral_Distance_Lanem [m] , #2 lane_id, #2 lane_offset [m] , #2 World_Heading_Angle [rad] , #2 Heading_Angle_Rate [rad/s] , #2 Relative_Heading_Angle [rad] , #2 Relative_Heading_Angle_Drive_Direction [rad] , #2 World_Pitch_Angle [rad] , #2 Road_Curvature [1/m] , #2 collision_ids , 
10, 0.084000, Ego, 0, 16.396277, 0.006860, 3.963461, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 58.616593, -201.677766, 0.000000, 15.457211, -5.452265, 0.000000, -3.968038, 2.088162, 0.000000, 61.017602, -4.822542, -2, 0.000000, 5.944190, 0.035803, 0.000000, 0.003827, 0.000000, -0.000230, , Agent1, 1, 11.111111, -0.002250, 2.666667, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 86.491769, -211.504509, 0.000000, 10.464621, -3.735379, 0.000000, -0.023551, -0.066404, 0.000000, 90.564683, -4.743343, -2, 0.000000, 5.940300, -0.007959, 0.000000, -0.002020, 0.000000, 0.000021, , 
11, 0.094000, Ego, 0, 16.365347, 0.001860, 4.431042, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 58.770977, -201.732207, 0.000000, 15.438429, -5.444106, 0.000000, -1.878216, 0.815883, 0.000000, 61.181438, -4.821917, -2, 0.000000, 5.944142, -0.004739, 0.000000, 0.003807, 0.000000, -0.000111, , Agent1, 1, 11.111111, -0.003354, 2.984127, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 86.596413, -211.541872, 0.000000, 10.464379, -3.736297, 0.000000, -0.024220, -0.091799, 0.000000, 90.675783, -4.743574, -2, 0.000000, 5.940181, -0.011864, 0.000000, -0.002142, 0.000000, 0.000031, , 
12, 0.098000, Ego, 0, 16.352966, -0.000140, 4.617933, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 58.832673, -201.753965, 0.000000, 15.423918, -5.439470, 0.000000, -3.627648, 1.159008, 0.000000, 61.246884, -4.821668, -2, 0.000000, 5.944133, -0.002409, 0.000000, 0.003803, 0.000000, -0.000063, , Agent1, 1, 11.111111, -0.004264, 3.111111, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 86.638269, -211.556821, 0.000000, 10.463887, -3.737214, 0.000000, -0.122995, -0.229266, 0.000000, 90.720221, -4.743670, -2, 0.000000, 5.940121, -0.015080, 0.000000, -0.002203, 0.000000, 0.000035, , 
13, 0.107000, Ego, 0, 16.325407, -0.000049, 5.037730, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 58.971274, -201.802846, 0.000000, 15.400086, -5.431225, 0.000000, -2.647963, 0.916175, 0.000000, 61.393858, -4.821109, -2, 0.000000, 5.944130, -0.000256, 0.000000, 0.003802, 0.000000, 0.000045, , Agent1, 1, 11.111111, -0.005108, 3.396825, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 86.732441, -211.590466, 0.000000, 10.463606, -3.738399, 0.000000, -0.031229, -0.131592, 0.000000, 90.820204, -4.743899, -2, 0.000000, 5.939958, -0.018066, 0.000000, -0.002370, 0.000000, 0.000044, , 
14, 0.113000, Ego, 0, 16.307087, 0.000427, 5.317280, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 59.063563, -201.835394, 0.000000, 15.381498, -5.424581, 0.000000, -3.098080, 1.107308, 0.000000, 61.491679, -4.820737, -2, 0.000000, 5.944144, 0.002216, 0.000000, 0.003808, 0.000000, 0.000116, , Agent1, 1, 11.111111, -0.006082, 3.587302, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 86.795219, -211.612906, 0.000000, 10.462984, -3.739916, 0.000000, -0.103596, -0.252939, 0.000000, 90.886857, -4.744061, -2, 0.000000, 5.939829, -0.021510, 0.000000, -0.002502, 0.000000, 0.000050, , 
15, 0.119000, Ego, 0, 16.288856, 0.000807, 5.596517, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 59.155749, -201.867903, 0.000000, 15.364394, -5.418240, 0.000000, -2.850587, 1.056817, 0.000000, 61.589358, -4.820365, -2, 0.000000, 5.944169, 0.004184, 0.000000, 0.003818, 0.000000, 0.000187, , Agent1, 1, 11.111111, -0.006861, 3.777778, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 86.857994, -211.635354, 0.000000, 10.462475, -3.741353, 0.000000, -0.084942, -0.239524, 0.000000, 90.953508, -4.744233, -2, 0.000000, 5.939684, -0.024266, 0.000000, -0.002651, 0.000000, 0.000056, , 
16, 0.128000, Ego, 0, 16.261770, 0.001281, 6.014677, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 59.293812, -201.916585, 0.000000, 15.340369, -5.409086, 0.000000, -2.669521, 1.017120, 0.000000, 61.735581, -4.819805, -2, 0.000000, 5.944228, 0.006629, 0.000000, 0.003842, 0.000000, 0.000294, , Agent1, 1, 11.111111, -0.005772, 4.063492, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 86.952127, -211.669035, 0.000000, 10.459255, -3.742324, 0.000000, -0.357756, -0.107802, 0.000000, 91.053482, -4.744508, -2, 0.000000, 5.939500, -0.020415, 0.000000, -0.002836, 0.000000, -0.000019, , 
17, 0.134000, Ego, 0, 16.243762, 0.001753, 0.009956, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 59.385746, -201.948995, 0.000000, 15.322368, -5.401764, 0.000000, -3.000120, 1.220311, 0.000000, 61.832906, -4.819430, -2, 0.000000, 5.944283, 0.009065, 0.000000, 0.003865, 0.000000, 0.000365, , Agent1, 1, 11.111111, -0.003414, 4.253968, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 87.014895, -211.691501, 0.000000, 10.461339, -3.744448, 0.000000, 0.347400, -0.354061, 0.000000, 91.120154, -4.744700, -2, 0.000000, 5.939427, -0.012073, 0.000000, -0.002908, 0.000000, -0.000015, , 
18, 0.141000, Ego, 0, 16.222888, 0.002162, 0.334414, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 59.492871, -201.986753, 0.000000, 15.303457, -5.393989, 0.000000, -2.701561, 1.110803, 0.000000, 61.946266, -4.818990, -2, 0.000000, 5.944361, 0.011164, 0.000000, 0.003897, 0.000000, 0.000448, , Agent1, 1, 11.111111, -0.002413, 4.476190, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 87.088123, -211.717718, 0.000000, 10.461111, -3.745152, 0.000000, -0.032633, -0.100644, 0.000000, 91.197938, -4.744929, -2, 0.000000, 5.939368, -0.008536, 0.000000, -0.002967, 0.000000, -0.000009, , 
19, 0.146000, Ego, 0, 16.208017, 0.002198, 0.565957, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 59.569226, -202.013660, 0.000000, 15.270980, -5.381268, 0.000000, -6.495411, 2.544130, 0.000000, 62.027132, -4.818674, -2, 0.000000, 5.944418, 0.011340, 0.000000, 0.003935, 0.000000, -0.000216, , Agent1, 1, 11.111111, -0.001490, 4.634921, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 87.140428, -211.736445, 0.000000, 10.460917, -3.745578, 0.000000, -0.038757, -0.085029, 0.000000, 91.253496, -4.745094, -2, 0.000000, 5.939341, -0.005270, 0.000000, -0.002992, 0.000000, -0.000005, , 
20, 0.154000, Ego, 0, 16.184432, 0.001267, 0.935887, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 59.691372, -202.056693, 0.000000, 15.268247, -5.379237, 0.000000, -0.341680, 0.253888, 0.000000, 62.156742, -4.818158, -2, 0.000000, 5.944470, 0.006528, 0.000000, 0.004009, 0.000000, -0.000124, , Agent1, 1, 11.111111, -0.000490, 4.888889, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 87.224115, -211.766412, 0.000000, 10.460893, -3.745826, 0.000000, -0.002977, -0.031106, 0.000000, 91.342387, -4.745361, -2, 0.000000, 5.939327, -0.001733, 0.000000, -0.003006, 0.000000, 0.000001, , 
21, 0.160000, Ego, 0, 16.166801, 0.000673, 1.213032, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 59.782877, -202.088929, 0.000000, 15.250953, -5.372562, 0.000000, -2.882215, 1.112481, 0.000000, 62.253801, -4.817768, -2, 0.000000, 5.944491, 0.003461, 0.000000, 0.004038, 0.000000, -0.000056, , Agent1, 1, 11.111111, 0.000587, 5.079365, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 87.286880, -211.788887, 0.000000, 10.460892, -3.745818, 0.000000, -0.000254, 0.001353, 0.000000, 91.409053, -4.745561, -2, 0.000000, 5.939340, 0.002076, 0.000000, -0.002994, 0.000000, 0.000005, , 
22, 0.169000, Ego, 0, 16.140610, 0.000037, 1.628076, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 59.919925, -202.137206, 0.000000, 15.227554, -5.364127, 0.000000, -2.599959, 0.937227, 0.000000, 62.399105, -4.817180, -2, 0.000000, 5.944492, 0.000191, 0.000000, 0.004041, 0.000000, 0.000047, , Agent1, 1, 11.111111, 0.001741, 5.365079, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 87.381029, -211.822596, 0.000000, 10.461033, -3.745492, 0.000000, 0.015752, 0.036290, 0.000000, 91.509051, -4.745858, -2, 0.000000, 5.939395, 0.006157, 0.000000, -0.002939, 0.000000, 0.000012, , 
23, 0.174000, Ego, 0, 16.126071, -0.000554, 1.858449, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 59.995986, -202.164000, 0.000000, 15.212110, -5.358855, 0.000000, -3.088811, 1.054450, 0.000000, 62.479718, -4.816855, -2, 0.000000, 5.944478, -0.002846, 0.000000, 0.004021, 0.000000, 0.000104, , Agent1, 1, 11.111111, 0.002818, 5.523809, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 87.433335, -211.841321, 0.000000, 10.461162, -3.744886, 0.000000, 0.025783, 0.121139, 0.000000, 91.564603, -4.746020, -2, 0.000000, 5.939445, 0.009965, 0.000000, -0.002890, 0.000000, 0.000016, , 
24, 0.182000, Ego, 0, 16.103014, -0.001103, 2.226518, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 60.117517, -202.206817, 0.000000, 15.191439, -5.352080, 0.000000, -2.583823, 0.846772, 0.000000, 62.608477, -4.816341, -2, 0.000000, 5.944433, -0.005651, 0.000000, 0.003956, 0.000000, 0.000194, , Agent1, 1, 11.111111, 0.003817, 5.777778, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 87.517027, -211.871274, 0.000000, 10.461506, -3.744098, 0.000000, 0.043007, 0.098516, 0.000000, 91.653485, -4.746273, -2, 0.000000, 5.939553, 0.013501, 0.000000, -0.002784, 0.000000, 0.000022, , 
25, 0.188000, Ego, 0, 16.085777, -0.001691, 2.502274, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 60.208562, -202.238898, 0.000000, 15.174066, -5.346830, 0.000000, -2.895537, 0.875005, 0.000000, 62.704902, -4.815963, -2, 0.000000, 5.944381, -0.008661, 0.000000, 0.003882, 0.000000, 0.000262, , Agent1, 1, 11.111111, 0.004894, 5.968254, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 87.579798, -211.893731, 0.000000, 10.461867, -3.742961, 0.000000, 0.060058, 0.189493, 0.000000, 91.720145, -4.746455, -2, 0.000000, 5.939657, 0.017309, 0.000000, -0.002682, 0.000000, 0.000027, , 
26, 0.195000, Ego, 0, 16.065797, -0.002237, 2.823590, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 60.314649, -202.276287, 0.000000, 15.155263, -5.341343, 0.000000, -2.686140, 0.783897, 0.000000, 62.817220, -4.815533, -2, 0.000000, 5.944301, -0.011440, 0.000000, 0.003768, 0.000000, 0.000342, , Agent1, 1, 11.111111, 0.005894, 6.190476, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 87.653035, -211.919923, 0.000000, 10.462348, -3.741666, 0.000000, 0.068715, 0.185051, 0.000000, 91.797913, -4.746658, -2, 0.000000, 5.939803, 0.020845, 0.000000, -0.002538, 0.000000, 0.000032, , 
27, 0.202000, Ego, 0, 16.045929, -0.002823, 3.144508, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 60.420601, -202.313640, 0.000000, 15.136018, -5.336121, 0.000000, -2.749288, 0.745970, 0.000000, 62.929357, -4.815118, -2, 0.000000, 5.944200, -0.014420, 0.000000, 0.003624, 0.000000, 0.000421, , Agent1, 1, 11.111111, 0.006970, 0.129513, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 87.726275, -211.946103, 0.000000, 10.462939, -3.739997, 0.000000, 0.084531, 0.238296, 0.000000, 91.875679, -4.746849, -2, 0.000000, 5.939976, 0.024652, 0.000000, -0.002368, 0.000000, 0.000038, , 
28, 0.208000, Ego, 0, 16.028967, -0.001425, 3.419291, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 60.511234, -202.345602, 0.000000, 15.105604, -5.326970, 0.000000, -5.069047, 1.525296, 0.000000, 63.025337, -4.814776, -2, 0.000000, 5.944156, -0.007268, 0.000000, 0.003555, 0.000000, -0.000209, , Agent1, 1, 11.111111, 0.007970, 0.319989, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 87.789057, -211.968532, 0.000000, 10.463557, -3.738195, 0.000000, 0.102980, 0.300406, 0.000000, 91.942334, -4.747001, -2, 0.000000, 5.940145, 0.028188, 0.000000, -0.002202, 0.000000, 0.000042, , 
29, 0.217000, Ego, 0, 16.003773, 0.002846, 3.830816, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 60.647106, -202.393505, 0.000000, 15.096871, -5.322564, 0.000000, -0.970310, 0.489516, 0.000000, 63.169516, -4.814251, -2, 0.000000, 5.944287, 0.014499, 0.000000, 0.003709, 0.000000, -0.000111, , Agent1, 1, 11.111111, 0.003470, 0.605704, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 87.883228, -212.002158, 0.000000, 10.463444, -3.736209, 0.000000, -0.012542, 0.220630, 0.000000, 92.042314, -4.747214, -2, 0.000000, 5.940141, -0.000397, 0.000000, -0.002207, 0.000000, -0.000014, , 
30, 0.223000, Ego, 0, 15.987012, 0.001398, 4.104879, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 60.737588, -202.425397, 0.000000, 15.080305, -5.315342, 0.000000, -2.760908, 1.203645, 0.000000, 63.265489, -4.813893, -2, 0.000000, 5.944330, 0.007112, 0.000000, 0.003759, 0.000000, -0.000046, , Agent1, 1, 11.111111, 0.000470, 0.796180, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 87.946008, -212.024589, 0.000000, 10.463411, -3.738501, 0.000000, -0.005606, -0.381952, 0.000000, 92.108985, -4.747369, -2, 0.000000, 5.939926, -0.035925, 0.000000, -0.002422, 0.000000, -0.000011, , 
31, 0.233000, Ego, 0, 15.959398, -0.000143, 4.560862, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 60.888147, -202.478461, 0.000000, 15.055940, -5.306393, 0.000000, -2.436538, 0.894928, 0.000000, 63.425118, -4.813292, -2, 0.000000, 5.944322, -0.000726, 0.000000, 0.003750, 0.000000, 0.000063, , Agent1, 1, 11.111111, -0.004530, 1.113640, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 88.050634, -212.061999, 0.000000, 10.462597, -3.740967, 0.000000, -0.081412, -0.246620, 0.000000, 92.220102, -4.747652, -2, 0.000000, 5.939690, -0.023532, 0.000000, -0.002656, 0.000000, -0.000005, , 
32, 0.238000, Ego, 0, 15.945582, -0.001584, 4.788656, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 60.963351, -202.504969, 0.000000, 15.040769, -5.301575, 0.000000, -3.034145, 0.963527, 0.000000, 63.504822, -4.812995, -2, 0.000000, 5.944282, -0.008040, 0.000000, 0.003703, 0.000000, 0.000117, , Agent1, 1, 11.111111, -0.003369, 1.272370, 1.458010, 0.003289, 0.766293, 5.043196, 2.037635, 1.493122, 88.102944, -212.080711, 0.000000, 10.462018, -3.742385, 0.000000, -0.115757, -0.283638, 0.000000, 92.275659, -4.747802, -2, 0.000000, 5.939631, -0.011914, 0.000000, -0.002716, 0.000000, -0.000003, , 
